@relation 'xor'

@attribute 'x1' real
@attribute 'x2' real
@attribute 'x3' real
@attribute 'x4' real
@attribute 'x5' real
@attribute 'x6' real
@attribute 'x7' real
@attribute 'x8' real
@attribute 'x9' real
@attribute 'x10' real
@attribute 't' real
@data
0,0,0,1,1,0,1,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,1,0,1,1
0,1,1,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,1,1
0,0,1,1,0,0,0,1,1,0,1
0,0,1,1,0,0,0,0,0,1,1
0,1,1,0,1,1,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
1,0,1,0,0,1,1,1,0,0,0
1,1,1,1,0,0,0,1,1,0,1
1,0,0,1,0,0,1,1,1,1,1
0,0,0,1,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,1,1,1
1,1,0,0,1,0,1,1,0,0,0
0,0,1,0,1,1,1,1,1,1,1
0,0,1,0,0,0,0,0,0,1,1
1,0,1,0,0,1,1,1,0,1,0
0,1,1,0,0,0,0,0,1,0,0
0,1,1,1,0,0,0,1,0,0,0
1,1,1,0,1,0,0,0,1,0,1
1,1,1,0,0,1,1,0,0,1,1
0,0,1,0,1,1,1,0,1,0,1
0,1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,1,1,0,1,0
0,0,0,0,1,1,1,0,1,1,0
0,0,1,1,1,1,1,1,0,1,1
0,0,1,1,1,1,0,1,0,0,1
0,0,1,0,1,0,0,1,1,0,1
1,0,1,0,1,1,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0,1
1,0,1,0,0,1,1,0,1,1,0
0,1,0,0,0,0,0,0,1,1,1
0,1,0,0,1,1,1,0,0,1,1
0,0,1,1,0,0,1,1,1,1,1
0,1,1,1,0,1,1,1,0,1,0
0,0,0,1,1,0,0,1,1,1,0
1,0,0,1,0,1,0,1,0,0,1
1,0,1,0,1,0,0,0,1,0,0
0,0,1,0,1,0,1,1,0,0,1
1,1,0,0,1,1,0,1,0,0,0
1,1,0,0,1,0,0,1,0,0,0
0,0,0,1,0,1,0,0,1,1,0
0,1,1,1,0,1,1,1,0,0,0
0,1,0,1,0,0,1,1,1,1,1
1,0,0,1,1,1,0,1,0,0,1
0,0,1,1,1,0,0,0,0,0,1
0,0,1,1,1,0,1,0,1,1,1
0,0,0,1,0,1,0,0,0,1,0
0,0,1,1,1,1,1,0,0,1,1
0,0,0,1,0,0,0,0,1,0,0
1,1,1,0,0,0,1,0,1,0,1
1,0,0,1,1,0,0,0,0,0,1
1,0,1,1,1,1,1,0,1,1,0
1,1,0,1,0,1,0,1,0,1,0
1,1,0,0,1,0,0,0,1,0,0
0,1,1,1,1,0,0,0,1,1,0
1,1,0,0,0,0,1,1,0,1,0
1,1,1,1,1,1,0,1,1,1,1
1,0,0,1,1,1,1,0,0,1,1
1,0,1,0,0,0,1,1,0,0,0
1,0,1,1,0,0,1,1,1,1,0
1,1,1,0,1,0,0,0,1,0,1
0,0,1,0,0,0,1,0,0,0,1
1,1,1,0,1,0,0,0,1,0,1
0,0,1,0,0,0,0,1,0,0,1
0,0,1,1,1,1,1,1,0,0,1
0,1,0,1,1,1,0,0,1,1,1
0,0,1,1,1,0,0,1,1,0,1
1,1,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,0,0,1
1,1,1,0,1,1,1,0,0,0,1
1,0,1,0,1,0,1,0,1,0,0
0,0,1,0,1,1,0,0,0,1,1
0,0,0,1,1,1,0,0,0,1,0
0,1,1,0,0,0,1,0,0,1,0
0,0,0,1,0,0,0,1,1,0,0
1,1,0,1,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0,0
0,1,0,1,0,1,0,1,1,0,1
1,1,1,1,0,1,1,1,1,0,1
0,0,1,1,1,0,0,1,0,1,1
0,0,1,1,0,0,1,0,0,0,1
1,0,0,1,1,1,1,0,1,1,1
0,0,1,0,0,1,1,1,0,0,1
0,1,0,1,1,0,1,0,1,0,1
1,1,0,0,1,1,0,1,1,1,0
0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,1,1,0,1
1,1,0,1,0,0,1,1,1,0,0
1,0,0,1,1,1,0,0,1,1,1
0,0,1,0,0,0,1,0,1,0,1
0,1,1,1,0,1,0,1,1,1,0
0,1,1,0,0,0,0,1,0,0,0
0,1,1,0,0,0,1,1,0,0,0
0,1,0,1,0,0,0,0,1,1,1
1,1,0,1,1,1,0,0,1,0,0
1,1,0,0,1,1,1,1,1,1,0
1,0,0,0,1,1,0,0,1,0,1
1,1,0,1,0,1,1,0,0,0,0
1,1,0,0,0,0,1,1,0,0,0
0,1,0,0,1,1,0,1,0,0,1
0,1,1,1,1,1,0,1,0,0,0
0,1,1,0,1,0,0,0,0,0,0
0,0,1,1,0,0,1,0,0,0,1
0,0,1,1,0,0,1,1,1,1,1
1,0,0,1,1,0,1,0,1,1,1
0,1,1,0,1,0,1,1,1,0,0
0,0,1,1,0,0,0,0,0,0,1
0,1,0,1,1,1,0,0,0,0,1
0,1,0,0,0,1,0,1,0,0,1
1,0,0,0,1,1,1,1,1,0,1
1,1,0,1,0,0,1,1,1,0,0
1,0,1,1,0,0,0,1,1,1,0
1,0,1,1,1,0,0,1,0,0,0
0,0,1,0,0,0,1,0,1,0,1
0,1,0,0,0,0,1,0,1,0,1
0,0,0,0,1,0,0,1,0,1,0
0,0,1,1,0,1,0,1,1,1,1
0,0,0,1,1,0,0,0,1,1,0
1,1,1,1,1,0,0,1,1,1,1
0,0,1,1,1,0,1,0,0,0,1
0,1,0,1,0,1,0,0,0,0,1
1,1,1,1,1,1,0,0,0,0,1
1,1,0,1,1,1,0,1,1,1,0
0,1,1,0,1,0,1,1,0,0,0
1,1,1,0,0,0,1,0,0,1,1
0,1,0,0,1,0,1,1,0,0,1
0,0,0,0,0,1,1,1,1,1,0
0,1,0,0,1,1,1,1,0,0,1
0,1,0,1,0,1,0,1,0,0,1
0,1,0,1,0,0,0,1,0,0,1
1,0,0,0,0,0,1,1,1,0,1
0,0,1,0,1,0,0,1,1,1,1
1,0,0,1,1,0,1,1,1,0,1
0,0,0,0,0,1,1,1,1,1,0
1,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,0,1,1,1,1
0,1,0,0,0,0,0,0,1,1,1
0,1,0,0,0,1,1,0,0,1,1
1,1,0,0,0,1,1,0,0,1,0
0,0,1,0,0,0,0,1,1,1,1
0,1,1,1,1,1,0,1,1,0,0
1,1,1,0,0,0,1,0,0,1,1
0,1,1,0,0,1,1,0,1,1,0
1,0,1,0,1,0,1,1,1,0,0
1,1,0,1,0,1,0,0,1,0,0
1,1,0,0,0,1,1,1,1,1,0
1,0,1,1,1,0,0,1,0,1,0
0,0,0,0,1,1,1,1,1,0,0
1,1,1,1,1,0,0,0,1,0,1
